
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=36>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=37>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=38>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=39>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=40>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=41>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=42>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=43>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=44>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=45>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=46>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=47>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=48>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=49>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=50>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=51>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=52>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=53>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=54>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=55>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=56>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=57>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=58>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=59>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=60>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=61>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=62>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=63>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=64>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=65>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=66>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=67>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=68>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=69>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=70>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=71>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=72>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=73>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=74>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=75>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=76>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=77>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=78>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=79>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=80>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=81>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=82>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=83>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=84>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=85>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=86>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=87>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=88>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=89>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=90>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=91>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=92>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=93>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=94>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=95>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=96>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=97>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=98>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=99>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=100>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=101>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=102>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=103>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=104>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=105>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=106>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=107>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=108>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=109>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=110>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=111>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=112>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=113>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=114>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=115>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=116>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=117>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=118>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=119>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=120>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=121>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=122>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=123>
